Wall time,Step,Value
1587447193.3009343,31767,-419.0
1587448509.2638466,51260,-28.0
1587448514.994491,51304,-20.0
1587449478.226623,61760,-5.0
1587449804.0593636,64256,-4.0
1587450050.666153,66540,-5.0
1587450244.5479698,68542,-2.0
1587451060.4233077,76393,-46.0
1587451540.9334803,81719,-5.0
1587451648.7950757,82665,-130.0
1587451986.6191325,86182,-3.0
1587452353.9384642,89527,-4.0
1587452557.6252775,91460,-12.0
1587452702.8967323,92681,-5.0
1587453169.7552116,97301,-4.0
1587453352.2122087,99256,-3.0
1587454178.6668026,108933,-2.0
1587454325.384609,110195,-6.0
1587454326.235778,110201,-4.0
1587454345.4357917,110406,-13.0
1587454361.5725644,110550,-8.0
1587454578.4145908,113134,-5.0
1587454839.0068521,115847,-2.0
1587454860.8766992,116018,-3.0
1587456245.3808138,128793,-5.0
1587457444.2098656,142417,0.0
1587457796.1347997,146298,-6.0
1587458467.9890678,152043,-2.0
1587459378.261917,161449,-21.0
1587460259.1989374,172191,-2.0
1587460565.2651598,176353,-3.0
1587460698.748967,177432,-32.0
1587461170.9089744,181646,-2.0
1587461309.0684147,182917,-4.0
1587461886.0800695,188498,-2.0
1587462177.0079696,191533,0.0
1587463255.3967834,203615,0.0
1587464152.7403865,212190,-5.0
1587464345.8925605,214358,-12.0
1587464363.3858566,214514,-9.0
1587464659.8524926,217493,-3.0
1587464939.7297528,220793,-1.0
1587465493.4170427,226087,-4.0
1587465541.56704,226502,-14.0
1587465764.402046,228452,-4.0
1587465798.092378,228741,-16.0
1587465922.2494795,229921,-4.0
1587466170.8161457,232645,-2.0
1587466208.7060695,232947,-6.0
1587466313.079901,233779,-2.0
1587466361.5229447,234141,-2.0
1587466380.680501,234276,-7.0
1587466648.1700692,236645,-5.0
1587466677.9072173,236843,-2.0
1587467319.881086,242814,-1.0
1587468576.1073613,257102,-1.0
1587469044.8411138,262624,-5.0
1587469735.7877803,269117,-1.0
1587469937.4984193,271299,-2.0
1587470021.0770576,272005,-2.0
1587471272.2603054,285057,-4.0
1587471836.9837053,290835,-7.0
1587472038.0751908,293265,-6.0
1587472272.9467587,295581,-4.0
1587472278.837252,295624,-6.0
1587472342.2458863,296170,-3.0
1587472501.341755,297874,-5.0
1587472916.8653228,301794,-5.0
1587473025.793055,302695,-2.0
1587473112.0324833,303400,-14.0
1587473266.812697,305195,-13.0
1587473367.4599423,306078,-5.0
1587473680.2319596,308863,-3.0
1587473846.2052634,310286,-3.0
1587474084.4270873,312368,-7.0
1587474527.5092814,316910,-4.0
1587474677.010421,318194,-7.0
1587475051.689085,321222,-5.0
1587475191.407471,322584,0.0
1587475425.162342,324841,1.0
1587475504.2264817,325512,-10.0
1587476455.4026754,335077,-3.0
1587476644.156386,336903,0.0
1587476649.191309,336933,-2.0
1587477353.781498,344917,0.0
1587477672.4777892,347590,-1.0
1587477745.225481,348196,-4.0
1587480061.5332258,369938,-4.0
1587480207.9015365,371575,-25.0
1587480542.7815318,374757,-7.0
1587480715.9410415,376924,-2.0
1587480934.5466454,379266,-12.0
1587480948.3098507,379376,-5.0
1587482099.4456048,390271,-15.0
1587482853.7403593,398082,-5.0
1587483441.4621184,404604,-51.0
1587484415.6794434,415606,-10.0
1587485417.3059335,424067,-2.0
1587485566.3522158,425322,-10.0
1587485857.100334,428056,-5.0
1587485916.5843961,428663,-6.0
1587487708.2574096,448454,-5.0
1587488212.9270759,453635,0.0
1587488499.980744,456300,-6.0
1587490972.073287,479857,-20.0
1587492098.6023805,490245,-4.0
1587492666.0412922,494873,-12.0
1587492830.7758136,496180,-5.0
1587493561.892252,502271,-4.0
1587493660.257176,503013,-4.0
1587495238.8965576,520446,-15.0
1587496460.2144213,533421,-1.0
1587496893.2769928,537696,-3.0
1587497182.0566285,540140,-4.0
1587497900.3903623,546764,-12.0
1587498212.4599907,549560,-3.0
1587498252.8954723,549895,-2.0
1587498309.0799427,550429,-4.0
1587498503.5385866,552176,-2.0
1587498800.3366048,555099,-6.0
1587500225.1270447,570048,-6.0
1587500255.6992323,570311,-5.0
1587501876.9832199,585482,-10.0
1587502363.506283,589443,-6.0
1587502890.945896,594143,-3.0
1587503084.6321404,596712,-30.0
1587503137.7245212,597191,-11.0
1587503932.0642009,605204,-8.0
1587504389.968372,609638,-1.0
1587504962.9879801,615025,-6.0
1587505079.6058428,615950,-2.0
1587505861.398371,623737,-5.0
1587506721.4072564,631287,-6.0
1587506891.3843732,632778,-16.0
1587507212.4658964,635470,-2.0
1587507224.802296,635550,-4.0
1587507569.6442332,638393,-1.0
1587507864.54008,640882,-4.0
1587508156.3128731,643594,-17.0
1587508213.8527045,644150,-55.0
1587508410.5231783,645790,-2.0
1587508694.8368757,648251,-6.0
1587508753.7312164,648710,-5.0
1587509210.4264145,653986,-37.0
1587509501.1608472,656232,-4.0
1587510334.1469219,663368,-16.0
1587510717.757252,666556,-36.0
1587510774.7850146,666957,-5.0
1587511478.3740098,673234,-19.0
1587512557.1671736,682967,-13.0
1587512706.615584,684542,-2.0
1587512868.1279252,686166,-4.0
1587512954.5149515,686906,-2.0
1587513061.6919453,687884,-2.0
1587513301.8860707,690137,-2.0
1587513438.780447,691383,-14.0
1587513792.3786612,694380,-10.0
1587514179.0040848,699012,-9.0
1587514798.986037,704488,-98.0
1587515020.9318647,706329,-10.0
1587515093.6476502,707025,-5.0
1587515725.0748491,713964,-1.0
1587516229.8879297,718886,-15.0
1587516899.6736343,725232,-57.0
1587517261.9430845,728304,-9.0
1587517424.4288225,729585,-6.0
1587518477.8393545,740237,-15.0
1587518742.1808007,742557,-7.0
1587519179.2526894,746522,-4.0
