Wall time,Step,Value
1587445459.8555255,5845,-0.78125
1587445687.2440333,9164,-0.8125
1587445737.6263545,10048,-0.890625
1587446108.5454962,15510,-0.78125
1587446644.3645034,23422,-0.875
1587447086.2449782,30088,-0.75
1587447377.657766,34468,-0.875
1587447785.7492635,40614,-0.90625
1587447853.5092382,41619,-0.859375
1587448119.014885,45627,-0.796875
1587448198.5319095,46891,-0.78125
1587448442.0671518,50372,-0.71875
1587448451.378293,50459,-0.734375
1587448697.3195302,53764,-0.65625
1587449325.1498094,60504,-0.6875
1587449575.9808805,62541,-0.609375
1587450246.8806474,68474,-0.484375
1587450262.5368297,68635,-0.46875
1587450537.7394903,71201,-0.546875
1587453247.1030128,98171,-0.453125
1587453824.7058473,104406,-0.546875
1587453926.2609866,105865,-0.578125
1587453991.1262467,106367,-0.453125
1587455650.8909733,123350,-0.5625
1587455977.5584297,126434,-0.5625
1587456119.5680833,127500,-0.5625
1587456217.274774,128427,-0.4375
1587456818.5289538,135084,-0.359375
1587456874.2258105,135671,-0.53125
1587457035.3308463,137778,-0.484375
1587457553.1003716,143328,-0.515625
1587457828.655325,146482,-0.734375
1587459017.398338,157200,-0.421875
1587459657.9865646,164577,-0.6875
1587459766.0364377,165834,-0.5
1587460141.6205256,170537,-0.546875
1587460341.2451587,173318,-0.609375
1587460723.772252,177692,-0.78125
1587460914.344487,179403,-0.625
1587461075.6780636,180803,-0.71875
1587461173.5626848,181617,-0.6875
1587461955.3777244,189255,-0.609375
1587462334.6323488,193001,-0.578125
1587463437.2382693,205445,-0.5625
1587465353.2294612,224824,-0.421875
1587465670.0873218,227445,-0.4375
1587465970.5419228,230264,-0.40625
1587466094.2235324,231698,-0.34375
1587466562.6073225,235777,-0.4375
1587467167.6331148,241226,-0.421875
1587467282.6537228,242392,-0.375
1587467532.681915,244708,-0.4375
1587467636.5275433,245991,-0.46875
1587467720.9204803,246827,-0.46875
1587467987.3164558,250122,-0.421875
1587468256.0528347,253566,-0.484375
1587468362.3089662,254696,-0.5625
1587468907.0398715,260767,-0.53125
1587468957.0143473,261498,-0.5
1587469650.027489,268263,-0.5625
1587469906.971112,270865,-0.421875
1587469907.217974,270885,-0.34375
1587470182.2365925,273568,-0.625
1587470584.727713,277514,-0.484375
1587471086.218204,282834,-0.375
1587471773.1429791,289977,-0.484375
1587473581.3901694,307845,-0.515625
1587475360.2459922,324073,-0.4375
1587475486.6391525,325227,-0.265625
1587475909.2201037,329833,-0.390625
1587476509.9739635,335401,-0.34375
1587477879.7716248,349122,-0.5625
1587479205.179115,361129,-0.5
1587479391.8366613,362905,-0.375
1587479896.0664358,367855,-0.4375
1587480018.8878958,369433,-0.53125
1587480105.1957924,370228,-0.53125
1587480420.2884405,373589,-0.53125
1587480420.680414,373620,-0.5
1587481577.4902563,384727,-0.671875
1587481632.8485007,385175,-0.484375
1587481800.2116306,386679,-0.46875
1587481844.9777896,387031,-0.5
1587481939.838396,388113,-0.5
1587482172.0184252,390996,-0.4375
1587482538.0877988,395211,-0.5625
1587482577.6695342,395586,-0.546875
