Wall time,Step,Value
1587445191.153658,1662,-0.796875
1587445191.3385692,1678,-0.859375
1587445191.35538,1679,-0.765625
1587445202.9659743,1944,-0.765625
1587445221.4889822,2102,-0.78125
1587445222.583695,2195,-0.828125
1587445231.5441604,2255,-0.875
1587445243.244162,2541,-0.828125
1587445252.9968548,2662,-0.84375
1587445261.750758,2705,-0.859375
1587445262.9233303,2806,-0.875
1587445272.8203466,2947,-0.90625
1587445281.9245415,3019,-0.6875
1587445282.6670637,3082,-0.828125
1587445292.8155777,3236,-0.8125
1587445293.4263897,3287,-0.765625
1587445312.1369233,3459,-0.765625
1587445312.8669484,3521,-0.78125
1587445312.8731756,3522,-0.828125
1587445312.93973,3526,-0.765625
1587445313.0536852,3534,-0.796875
1587445313.6021225,3573,-0.71875
1587445322.687023,3649,-0.796875
1587445322.8079352,3660,-0.8125
1587445352.76329,4176,-0.703125
1587445371.9129913,4448,-0.859375
1587445380.9843924,4536,-0.78125
1587445391.4693465,4752,-0.828125
1587445400.1802955,4816,-0.890625
1587445411.2535925,5087,-0.765625
1587445421.0250666,5241,-0.859375
1587445429.2853596,5264,-0.765625
1587445429.9679155,5324,-0.90625
1587445440.0843108,5509,-0.8125
1587445448.573407,5560,-0.859375
1587445458.8840969,5759,-0.875
1587445459.8555255,5845,-0.78125
1587445478.9034355,6105,-0.6875
1587445502.0810442,6411,-0.84375
1587445502.1924918,6421,-0.921875
1587445510.9003701,6466,-0.875
1587445510.9814749,6473,-0.890625
1587445512.051446,6569,-0.890625
1587445521.6516984,6625,-0.828125
1587445531.9403148,6820,-0.90625
1587445532.1669059,6839,-0.84375
1587445541.3025773,6931,-0.90625
1587445541.4879744,6946,-0.9375
1587445541.984091,6991,-0.84375
1587445550.8461456,7053,-0.875
1587445551.0340612,7070,-0.8125
1587445551.5661428,7117,-0.8125
1587445551.8553512,7141,-0.953125
1587445551.9641595,7151,-0.796875
1587445561.243136,7258,-0.84375
1587445561.4386506,7275,-0.859375
1587445580.155111,7510,-0.859375
1587445599.288383,7802,-0.875
1587445600.3868177,7899,-0.90625
1587445619.3253858,8148,-0.8125
1587445619.956006,8204,-0.6875
1587445620.3722856,8239,-0.875
1587445629.122445,8304,-0.859375
1587445648.6895618,8606,-0.859375
1587445658.6391706,8780,-0.8125
1587445659.050958,8816,-0.8125
1587445668.0208054,8894,-0.765625
1587445668.0619524,8897,-0.90625
1587445668.3536608,8923,-0.90625
1587445668.8642027,8967,-0.890625
1587445678.6600242,9116,-0.71875
1587445687.2440333,9164,-0.8125
1587445687.6621828,9202,-0.8125
1587445688.0166256,9234,-0.90625
1587445688.4710274,9275,-0.8125
1587445697.8773813,9397,-0.953125
1587445706.8025753,9468,-0.796875
1587445707.9137197,9565,-0.859375
